 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.100000,    4.599842,   -1.000000
    0.100000,    4.699839,   -1.000000
    0.100000,    4.799835,   -1.000000
    0.100000,    4.899832,   -1.000000
    0.100000,    4.999828,   -1.000000
    0.100000,    5.099825,   -1.000000
    0.100000,    5.199822,   -1.000000
    0.100000,    5.299818,   -1.000000
    0.100000,    5.399815,   -1.000000
    0.100000,    5.499811,   -1.000000
    0.100000,    5.599808,   -1.000000
    0.100000,    5.699804,   -1.000000
    0.100000,    5.799801,   -1.000000
    0.100000,    5.899798,   -1.000000
    0.100000,    5.999794,   -1.000000
    0.100000,    6.099791,   -1.000000
    0.100000,    6.199787,   -1.000000
    0.100000,    6.299784,   -1.000000
    0.100000,    6.399780,   -1.000000
    0.100000,    6.499777,   -1.000000
    0.100000,    6.599774,   -1.000000
    0.100000,    6.699770,   -1.000000
    0.100000,    6.799767,   -1.000000
    0.100000,    6.899763,   -1.000000
    0.100000,    6.999760,   -1.000000
    0.100000,    7.099756,   -1.000000
    0.100000,    7.199753,   -1.000000
    0.100000,    7.299750,   -1.000000
    0.100000,    7.399746,   -1.000000
    0.100000,    7.499743,   -1.000000
    0.100000,    7.599739,   -1.000000
    0.100000,    7.699736,   -1.000000
    0.100000,    7.799732,   -1.000000
    0.100000,    7.899729,   -1.000000
    0.100000,    7.999726,   -1.000000
    0.100000,    8.099722,   -1.000000
    0.100000,    8.199719,   -1.000000
    0.100000,    8.299715,   -1.000000
    0.100000,    8.399712,   -1.000000
    0.100000,    8.499708,   -1.000000
    0.100000,    8.599705,   -1.000000
    0.100000,    8.699702,   -1.000000
    0.100000,    8.799698,   -1.000000
    0.100000,    8.899695,   -1.000000
    0.100000,    8.999691,   -1.000000
    0.100000,    9.099688,   -1.000000
    0.100000,    9.199684,   -1.000000
    0.100000,    9.299681,   -1.000000
    0.100000,    9.399678,   -1.000000
    0.100000,    9.499674,   -1.000000
    0.100000,    9.599671,   -1.000000
    0.100000,    9.699667,   -1.000000
    0.100000,    9.799664,   -1.000000
    0.100000,    9.899660,   -1.000000
    0.100000,    9.999657,   -1.000000
    0.100000,   10.099653,   -1.000000
    0.100000,   10.199650,   -1.000000
    0.100000,   10.299647,   -1.000000
    0.100000,   10.399643,   -1.000000
    0.100000,   10.499640,   -1.000000
    0.100000,   10.599636,   -1.000000
    0.100000,   10.699633,   -1.000000
    0.100000,   10.799629,   -1.000000
    0.100000,   10.899626,   -1.000000
    0.100000,   10.999623,   -1.000000
    0.100000,   11.099619,   -1.000000
    0.100000,   11.199616,   -1.000000
    0.100000,   11.299612,   -1.000000
